Location (from NCBI, GRCh38 (hg38))	Cyto Location	Gene	Dosage Data	Gene Name	Gene MIM#	Phenotype	Inheritance	Phenotype MIM#	Chromosome	Start	End
chr7:140,713,328-140,924,929	7q34	BRAF	Yes	B-Raf proto-oncogene, serine/threonine kinase	164757	Colorectal cancer, somatic	Autosomal dominant	114500	chr7	140713328	140924929
chr7:140,713,328-140,924,929	7q34	BRAF	Yes	B-Raf proto-oncogene, serine/threonine kinase	164757	LEOPARD syndrome 3	Autosomal dominant	613707	chr7	140713328	140924929
chr7:140,713,328-140,924,929	7q34	BRAF	Yes	B-Raf proto-oncogene, serine/threonine kinase	164757	Melanoma, malignant, somatic	Autosomal dominant	155600	chr7	140713328	140924929
chr7:140,713,328-140,924,929	7q34	BRAF	Yes	B-Raf proto-oncogene, serine/threonine kinase	164757	Nonsmall cell lung cancer, somatic	Autosomal dominant	211980	chr7	140713328	140924929
chr7:140,713,328-140,924,929	7q34	BRAF	Yes	B-Raf proto-oncogene, serine/threonine kinase	164757	Noonan syndrome 7	Autosomal dominant	613706	chr7	140713328	140924929
chr7:141,738,321-141,750,488	7q34	SSBP1	Yes	single stranded DNA binding protein 1	600439	Optic atrophy 13 with retinal and foveal abnormalities	Autosomal dominant	165510	chr7	141738321	141750488
chr7:141,972,631-141,973,773	7q34	TAS2R38	Yes	taste 2 receptor member 38	607751	[Phenylthiocarbamide tasting]	Autosomal dominant	171200	chr7	141972631	141973773
chr7:142,749,472-142,753,072	7q34	PRSS1	Yes	serine protease 1	276000	Pancreatitis, hereditary	Autosomal dominant	167800	chr7	142749472	142753072
chr7:142,770,970-142,774,560	7q34	PRSS2	Yes	serine protease 2	601564	{Pancreatitis, chronic, protection against}	Autosomal dominant	167800	chr7	142770970	142774560
chr7:143,316,111-143,352,083	7q34	CLCN1	Yes	chloride voltage-gated channel 1	118425	Myotonia congenita, dominant	Autosomal dominant	160800	chr7	143316111	143352083
chr7:143,316,111-143,352,083	7q34	CLCN1	Yes	chloride voltage-gated channel 1	118425	Myotonia congenita, recessive	Autosomal recessive	255700	chr7	143316111	143352083
chr7:143,316,111-143,352,083	7q34	CLCN1	Yes	chloride voltage-gated channel 1	118425	Myotonia levior	Autosomal dominant	160800	chr7	143316111	143352083
chr7:144,396,900-144,410,227	7q35	NOBOX	Yes	NOBOX oogenesis homeobox	610934	Premature ovarian failure 5	Autosomal dominant	611548	chr7	144396900	144410227
chr7:148,807,383-148,884,291	7q36.1	EZH2	Yes	enhancer of zeste 2 polycomb repressive complex 2 subunit	601573	Weaver syndrome	Autosomal dominant	277590	chr7	148807383	148884291
chr7:150,944,961-150,978,321	7q36.1	KCNH2	Yes	potassium voltage-gated channel subfamily H member 2	152427	Long QT syndrome 2	Autosomal dominant	613688	chr7	150944961	150978321
chr7:150,944,961-150,978,321	7q36.1	KCNH2	Yes	potassium voltage-gated channel subfamily H member 2	152427	Short QT syndrome 1	Autosomal dominant	609620	chr7	150944961	150978321
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Alzheimer disease, late-onset, susceptibility to}	Autosomal dominant	104300	chr7	150991017	151014588
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Coronary artery spasm 1, susceptibility to}	Autosomal dominant	104300	chr7	150991017	151014588
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Hypertension, pregnancy-induced}	Autosomal dominant	189800	chr7	150991017	151014588
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Hypertension, susceptibility to}	Multifactorial	145500	chr7	150991017	151014588
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Ischemic stroke, susceptibility to}	Multifactorial	601367	chr7	150991017	151014588
chr7:150,991,017-151,014,588	7q36.1	NOS3	Yes	nitric oxide synthase 3	163729	{Placental abruption}	Multifactorial	601367	chr7	150991017	151014588
chr7:151,175,698-151,187,792	7q36.1	ASB10	Yes	ankyrin repeat and SOCS box containing 10	615054	Glaucoma 1, open angle, F	Autosomal dominant	603383	chr7	151175698	151187792
chr7:151,556,127-151,877,115	7q36.1	PRKAG2	Yes	protein kinase AMP-activated non-catalytic subunit gamma 2	602743	Cardiomyopathy, hypertrophic 6	Autosomal dominant	600858	chr7	151556127	151877115
chr7:151,556,127-151,877,115	7q36.1	PRKAG2	Yes	protein kinase AMP-activated non-catalytic subunit gamma 2	602743	Glycogen storage disease of heart, lethal congenital	Autosomal dominant	261740	chr7	151556127	151877115
chr7:151,556,127-151,877,115	7q36.1	PRKAG2	Yes	protein kinase AMP-activated non-catalytic subunit gamma 2	602743	Wolff-Parkinson-White syndrome	Autosomal dominant	194200	chr7	151556127	151877115
chr7:152,134,925-152,436,003	7q36.1	KMT2C	Yes	lysine methyltransferase 2C	606833	Kleefstra syndrome 2	Autosomal dominant	617768	chr7	152134925	152436003
chr7:153,748,133-154,894,285 (I)	7q36.2	DPP6	Yes	dipeptidyl peptidase like 6	126141	{Ventricular fibrillation, paroxysmal familial, 2}	Autosomal dominant	612956	chr7	153748133	154894285 
chr7:153,748,133-154,894,285 (I)	7q36.2	DPP6	Yes	dipeptidyl peptidase like 6	126141	Intellectual developmental disorder, autosomal dominant 33	Autosomal dominant	616311	chr7	153748133	154894285 
chr7:155,799,980-155,812,463	7q36.3	SHH	Yes	sonic hedgehog signaling molecule	600725	Holoprosencephaly 3	Autosomal dominant	142945	chr7	155799980	155812463
chr7:155,799,980-155,812,463	7q36.3	SHH	Yes	sonic hedgehog signaling molecule	600725	Microphthalmia with coloboma 5	Autosomal dominant	611638	chr7	155799980	155812463
chr7:155,799,980-155,812,463	7q36.3	SHH	Yes	sonic hedgehog signaling molecule	600725	Schizencephaly	Autosomal dominant	269160	chr7	155799980	155812463
chr7:155,799,980-155,812,463	7q36.3	SHH	Yes	sonic hedgehog signaling molecule	600725	Single median maxillary central incisor	Autosomal dominant	147250	chr7	155799980	155812463
chr7:156,669,012-156,893,183	7q36.3	LMBR1	Yes	limb development membrane protein 1	605522	Acheiropody	Autosomal recessive	200500	chr7	156669012	156893183
chr7:156,669,012-156,893,183	7q36.3	LMBR1	Yes	limb development membrane protein 1	605522	Laurin-Sandrow syndrome	Autosomal dominant	135750	chr7	156669012	156893183
chr7:156,669,012-156,893,183	7q36.3	LMBR1	Yes	limb development membrane protein 1	605522	Syndactyly, type IV	Autosomal dominant	186200	chr7	156669012	156893183
chr7:156,669,012-156,893,183	7q36.3	LMBR1	Yes	limb development membrane protein 1	605522	Triphalangeal thumb-polysyndactyly syndrome	Autosomal dominant	190605	chr7	156669012	156893183
chr7:156,790,708-156,793,079	7q36.3	ZRS	Yes	ZPA regulatory sequence	620738	Polydactyly, preaxial II	Autosomal dominant	174500	chr7	156790708	156793079
chr7:156,790,708-156,793,079	7q36.3	ZRS	Yes	ZPA regulatory sequence	620738	Tibia, hypoplasia or aplasia of, with polydactyly	Autosomal dominant, Autosomal recessive	188740	chr7	156790708	156793079
chr7:156,790,708-156,793,079	7q36.3	ZRS	Yes	ZPA regulatory sequence	620738	Triphalangeal thumb	Autosomal dominant	174500	chr7	156790708	156793079
chr7:157,004,854-157,010,663	7q36.3	MNX1	Yes	motor neuron and pancreas homeobox 1	142994	Currarino syndrome	Autosomal dominant	176450	chr7	157004854	157010663
chr7:157,337,004-157,417,439	7q36.3	DNAJB6	Yes	DnaJ heat shock protein family (Hsp40) member B6	611332	Muscular dystrophy, limb-girdle, autosomal dominant 1	Autosomal dominant	603511	chr7	157337004	157417439
chr8:1,823,300-1,958,641	8p23.3	ARHGEF10	NA	Rho guanine nucleotide exchange factor 10	608136	?Slowed nerve conduction velocity, AD	Autosomal dominant	608236	chr8	1823300	1958641
chr8:6,499,632-6,563,245	8p23.1	ANGPT2	NA	angiopoietin 2	601922	Lymphatic malformation 10	Autosomal dominant	619369	chr8	6499632	6563245
chr8:10,606,349-10,655,143	8p23.1	RP1L1	NA	RP1 like 1	608581	Occult macular dystrophy	Autosomal dominant	613587	chr8	10606349	10655143
chr8:10,606,349-10,655,143	8p23.1	RP1L1	NA	RP1 like 1	608581	Retinitis pigmentosa 88	Autosomal recessive	618826	chr8	10606349	10655143
chr8:11,494,387-11,564,599	8p23.1	BLK	NA	BLK proto-oncogene, Src family tyrosine kinase	191305	Maturity-onset diabetes of the young, type 11	Autosomal dominant	613375	chr8	11494387	11564599
chr8:11,676,935-11,760,002	8p23.1	GATA4	Yes	GATA binding protein 4	600576	?Testicular anomalies with or without congenital heart disease	Autosomal dominant	615542	chr8	11676935	11760002
chr8:11,676,935-11,760,002	8p23.1	GATA4	Yes	GATA binding protein 4	600576	Atrial septal defect 2	Autosomal dominant	607941	chr8	11676935	11760002
chr8:11,676,935-11,760,002	8p23.1	GATA4	Yes	GATA binding protein 4	600576	Atrioventricular septal defect 4	Autosomal dominant	614430	chr8	11676935	11760002
chr8:11,676,935-11,760,002	8p23.1	GATA4	Yes	GATA binding protein 4	600576	Tetralogy of Fallot	Autosomal dominant	187500	chr8	11676935	11760002
chr8:11,676,935-11,760,002	8p23.1	GATA4	Yes	GATA binding protein 4	600576	Ventricular septal defect 1	Autosomal dominant	614429	chr8	11676935	11760002
chr8:11,842,524-11,868,087	8p23.1	CTSB	Yes	cathepsin B	116810	Keratolytic winter erythema	Autosomal dominant	148370	chr8	11842524	11868087
chr8:19,939,253-19,967,259	8p21.3	LPL	Yes	lipoprotein lipase	609708	[High density lipoprotein cholesterol level QTL 11]	Autosomal recessive	238600	chr8	19939253	19967259
chr8:19,939,253-19,967,259	8p21.3	LPL	Yes	lipoprotein lipase	609708	Combined hyperlipidemia, familial	Autosomal dominant	144250	chr8	19939253	19967259
chr8:19,939,253-19,967,259	8p21.3	LPL	Yes	lipoprotein lipase	609708	Lipoprotein lipase deficiency	Autosomal recessive	238600	chr8	19939253	19967259
chr8:20,197,381-20,221,696	8p21.3	ATP6V1B2	Yes	ATPase H+ transporting V1 subunit B2	606939	Deafness, congenital, with onychodystrophy, autosomal dominant	Autosomal dominant	124480	chr8	20197381	20221696
chr8:20,197,381-20,221,696	8p21.3	ATP6V1B2	Yes	ATPase H+ transporting V1 subunit B2	606939	Zimmermann-Laband syndrome 2	Autosomal dominant	616455	chr8	20197381	20221696
chr8:22,039,672-22,048,809	8p21.3	FGF17	Yes	fibroblast growth factor 17	603725	Hypogonadotropic hypogonadism 20 with or without anosmia	Autosomal dominant	615270	chr8	22039672	22048809
chr8:22,130,458-22,131,010	8p21.3	HRURF	Yes	HR upstream open reading frame	619257	Hypotrichosis 4	Autosomal dominant	146550	chr8	22130458	22131010
chr8:22,157,383-22,164,479	8p21.3	SFTPC	Yes	surfactant protein C	178620	Surfactant metabolism dysfunction, pulmonary, 2	Autosomal dominant	610913	chr8	22157383	22164479
chr8:22,367,278-22,434,129	8p21.3	SLC39A14	Yes	solute carrier family 39 member 14	608736	?Hyperostosis cranalis interna	Autosomal dominant	144755	chr8	22367278	22434129
chr8:22,367,278-22,434,129	8p21.3	SLC39A14	Yes	solute carrier family 39 member 14	608736	Hypermanganesemia with dystonia 2	Autosomal recessive	617013	chr8	22367278	22434129
chr8:22,950,813-23,020,199	8p21.3	RHOBTB2	Yes	Rho related BTB domain containing 2	607352	Developmental and epileptic encephalopathy 64	Autosomal dominant	618004	chr8	22950813	23020199
chr8:24,950,955-24,956,612	8p21.2	NEFL	Yes	neurofilament light chain	162280	Charcot-Marie-Tooth disease, dominant intermediate G	Autosomal dominant	617882	chr8	24950955	24956612
chr8:24,950,955-24,956,612	8p21.2	NEFL	Yes	neurofilament light chain	162280	Charcot-Marie-Tooth disease, type 1F	Autosomal dominant, Autosomal recessive	607734	chr8	24950955	24956612
chr8:24,950,955-24,956,612	8p21.2	NEFL	Yes	neurofilament light chain	162280	Charcot-Marie-Tooth disease, type 2E	Autosomal dominant	607684	chr8	24950955	24956612
chr8:27,459,756-27,479,261 (I)	8p21.2	CHRNA2	Yes	cholinergic receptor nicotinic alpha 2 subunit	118502	Epilepsy, nocturnal frontal lobe, type 4	Autosomal dominant	610353	chr8	27459756	27479261 
chr8:27,491,143-27,548,626	8p21.2-p21.1	EPHX2	Yes	epoxide hydrolase 2	132811	{Hypercholesterolemia, familial, due to LDLR defect, modifier of}	Autosomal dominant, Autosomal recessive	143890	chr8	27491143	27548626
chr8:37,736,634-37,758,422 (I)	8p11.23	ERLIN2	Yes	ER lipid raft associated 2	611605	Spastic paraplegia 18A, autosomal dominant	Autosomal dominant	620512	chr8	37736634	37758422 
chr8:37,736,634-37,758,422 (I)	8p11.23	ERLIN2	Yes	ER lipid raft associated 2	611605	Spastic paraplegia 18B, autosomal recessive	Autosomal recessive	611225	chr8	37736634	37758422 
chr8:37,962,990-37,966,599	8p11.23	ADRB3	Yes	adrenoceptor beta 3	109691	{Obesity, susceptibility to}	Autosomal dominant, Multifactorial, Autosomal recessive	601665	chr8	37962990	37966599
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Encephalocraniocutaneous lipomatosis, somatic mosaic	Autosomal dominant, Multifactorial, Autosomal recessive	613001	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Hartsfield syndrome	Autosomal dominant	615465	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Hypogonadotropic hypogonadism 2 with or without anosmia	Autosomal dominant	147950	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Jackson-Weiss syndrome	Autosomal dominant	123150	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Osteoglophonic dysplasia	Autosomal dominant	166250	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Pfeiffer syndrome	Autosomal dominant	101600	chr8	38411143	38468635
chr8:38,411,143-38,468,635	8p11.23	FGFR1	Yes	fibroblast growth factor receptor 1	136350	Trigonocephaly 1	Autosomal dominant	190440	chr8	38411143	38468635
chr8:41,653,225-41,896,741	8p11.21	ANK1	Yes	ankyrin 1	612641	Spherocytosis, type 1	Autosomal dominant, Autosomal recessive	182900	chr8	41653225	41896741
chr8:41,929,479-42,051,987	8p11.21	KAT6A	Yes	lysine acetyltransferase 6A	601408	Arboleda-Tham syndrome	Autosomal dominant	616268	chr8	41929479	42051987
chr8:42,271,302-42,332,460	8p11.21	IKBKB	Yes	inhibitor of nuclear factor kappa B kinase subunit beta	603258	Immunodeficiency 15A	Autosomal dominant	618204	chr8	42271302	42332460
chr8:42,271,302-42,332,460	8p11.21	IKBKB	Yes	inhibitor of nuclear factor kappa B kinase subunit beta	603258	Immunodeficiency 15B	Autosomal recessive	615592	chr8	42271302	42332460
chr8:42,416,475-42,541,954	8p11.21	SLC20A2	Yes	solute carrier family 20 member 2	158378	Basal ganglia calcification, idiopathic, 1	Autosomal dominant	213600	chr8	42416475	42541954
chr8:42,836,674-42,843,325	8p11.21	THAP1	Yes	THAP domain containing 1	609520	Dystonia 6, torsion	Autosomal dominant	602629	chr8	42836674	42843325
chr8:42,849,637-42,897,299	8p11.21	RNF170	Yes	ring finger protein 170	614649	Ataxia, sensory, 1, autosomal dominant	Autosomal dominant	608984	chr8	42849637	42897299
chr8:42,849,637-42,897,299	8p11.21	RNF170	Yes	ring finger protein 170	614649	Spastic paraplegia 85, autosomal recessive	Autosomal recessive	619686	chr8	42849637	42897299
chr8:54,457,935-54,460,892	8q11.23	SOX17	Yes	SRY-box transcription factor 17	610928	Vesicoureteral reflux 3	Autosomal dominant	613674	chr8	54457935	54460892
chr8:54,559,185-54,871,234	8q11.23-q12.1	RP1	Yes	RP1 axonemal microtubule associated	603937	Retinitis pigmentosa 1	Autosomal dominant, Autosomal recessive	180100	chr8	54559185	54871234
chr8:55,879,835-56,014,169	8q12.1	LYN	Yes	LYN proto-oncogene, Src family tyrosine kinase	165120	Autoinflammatory disease, systemic, with vasculitis	Autosomal dominant	620376	chr8	55879835	56014169
chr8:56,160,909-56,211,273	8q12.1	PLAG1	Yes	PLAG1 zinc finger	603026	Adenomas, salivary gland pleomorphic, somatic	Autosomal dominant	181030	chr8	56160909	56211273
chr8:56,160,909-56,211,273	8q12.1	PLAG1	Yes	PLAG1 zinc finger	603026	Silver-Russell syndrome 4	Autosomal dominant	618907	chr8	56160909	56211273
chr8:60,600,001-85,900,000 (I)	8q12.2-q21.2	DEL8q12q21	Yes	Bor-Duane hydrocephalus contiguous gene syndrome (chromosome 8q12.1-q21.2 deletion syndrome)	600257	Bor-Duane hydrocephalus contiguous gene syndrome	Autosomal dominant	600257	chr8	60600001	85900000 
chr8:60,678,740-60,868,028 (I)	8q12.2	CHD7	Yes	chromodomain helicase DNA binding protein 7	608892	CHARGE syndrome	Autosomal dominant	214800	chr8	60678740	60868028 
chr8:60,678,740-60,868,028 (I)	8q12.2	CHD7	Yes	chromodomain helicase DNA binding protein 7	608892	Hypogonadotropic hypogonadism 5 with or without anosmia	Autosomal dominant	612370	chr8	60678740	60868028 
chr8:65,100,001-72,000,000	8q13	DEL8q13	Yes	Mesomelia-synostoses syndrome (Chromosome 8q13 deletion syndrome)	600383	Mesomelia-synostoses syndrome	Autosomal dominant	600383	chr8	65100001	72000000
chr8:67,173,511-67,343,781	8q13.2	ARFGEF1	Yes	ADP ribosylation factor guanine nucleotide exchange factor 1	604141	Developmental delay, impaired speech, and behavioral abnormalities, with or without seizures	Autosomal dominant	619964	chr8	67173511	67343781
chr8:67,422,038-67,746,360	8q13.2	CPA6	Yes	carboxypeptidase A6	609562	Epilepsy, familial temporal lobe, 5	Autosomal dominant, Autosomal recessive	614417	chr8	67422038	67746360
chr8:67,422,038-67,746,360	8q13.2	CPA6	Yes	carboxypeptidase A6	609562	Febrile seizures, familial, 11	Autosomal recessive	614418	chr8	67422038	67746360
chr8:71,197,433-71,548,094	8q13.3	EYA1	Yes	EYA transcriptional coactivator and phosphatase 1	601653	?Otofaciocervical syndrome	Autosomal dominant	166780	chr8	71197433	71548094
chr8:71,197,433-71,548,094	8q13.3	EYA1	Yes	EYA transcriptional coactivator and phosphatase 1	601653	Anterior segment anomalies with or without cataract	Autosomal dominant	602588	chr8	71197433	71548094
chr8:71,197,433-71,548,094	8q13.3	EYA1	Yes	EYA transcriptional coactivator and phosphatase 1	601653	Branchiootic syndrome 1	Autosomal dominant	602588	chr8	71197433	71548094
chr8:71,197,433-71,548,094	8q13.3	EYA1	Yes	EYA transcriptional coactivator and phosphatase 1	601653	Branchiootorenal syndrome 1, with or without cataracts	Autosomal dominant	113650	chr8	71197433	71548094
chr8:72,000,001-74,600,000	8q21.11	DEL8q21.11	Yes	Chromosome 8q21.11 deletion syndrome	614230	Chromosome 8q21.11 deletion syndrome	Autosomal dominant, Isolated cases	614230	chr8	72000001	74600000
chr8:72,021,250-72,090,010	8q21.11	TRPA1	Yes	transient receptor potential cation channel subfamily A member 1	604775	?Episodic pain syndrome, familial, 1	Autosomal dominant	615040	chr8	72021250	72090010
chr8:74,234,700-74,321,540	8q21.11	JPH1	Yes	junctophilin 1	605266	?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K	Autosomal dominant, Autosomal recessive	607831	chr8	74234700	74321540
chr8:74,350,403-74,488,872	8q21.11	GDAP1	Yes	ganglioside induced differentiation associated protein 1	606598	Charcot-Marie-Tooth disease, axonal, type 2K	Autosomal dominant, Autosomal recessive	607831	chr8	74350403	74488872
chr8:74,350,403-74,488,872	8q21.11	GDAP1	Yes	ganglioside induced differentiation associated protein 1	606598	Charcot-Marie-Tooth disease, axonal, with vocal cord paresis	Autosomal recessive	607706	chr8	74350403	74488872
chr8:74,350,403-74,488,872	8q21.11	GDAP1	Yes	ganglioside induced differentiation associated protein 1	606598	Charcot-Marie-Tooth disease, recessive intermediate, A	Autosomal recessive	608340	chr8	74350403	74488872
chr8:74,350,403-74,488,872	8q21.11	GDAP1	Yes	ganglioside induced differentiation associated protein 1	606598	Charcot-Marie-Tooth disease, type 4A	Autosomal recessive	214400	chr8	74350403	74488872
chr8:81,440,326-81,447,439	8q21.13	PMP2	Yes	peripheral myelin protein 2	170715	Charcot-Marie-Tooth disease, demyelinating, type 1G	Autosomal dominant	618279	chr8	81440326	81447439
chr8:92,300,001-97,900,000 (I)	8q22.1	DUP8q22.1	Yes	Chromosome 8q22.1 duplication syndrome (Leri pleonosteosis)	151200	Leri pleonosteosis chromosome duplication syndrome	Autosomal dominant	151200	chr8	92300001	97900000 
chr8:92,300,001-97,900,000 (I)	8q22.1	NMLFS	Yes	Nablus mask-like facial syndrome (chromosome 8q22.1 deletion syndrome)	608156	Nablus mask-like facial syndrome	Autosomal dominant	608156	chr8	92300001	97900000 
chr8:96,142,333-96,160,806	8q22.1	GDF6	Yes	growth differentiation factor 6	601147	Klippel-Feil syndrome 1, autosomal dominant	Autosomal dominant	118100	chr8	96142333	96160806
chr8:96,142,333-96,160,806	8q22.1	GDF6	Yes	growth differentiation factor 6	601147	Leber congenital amaurosis 17	Autosomal recessive	615360	chr8	96142333	96160806
chr8:96,142,333-96,160,806	8q22.1	GDF6	Yes	growth differentiation factor 6	601147	Microphthalmia with coloboma 6, digenic	Autosomal dominant	613703	chr8	96142333	96160806
chr8:96,142,333-96,160,806	8q22.1	GDF6	Yes	growth differentiation factor 6	601147	Microphthalmia, isolated 4	Autosomal dominant	613094	chr8	96142333	96160806
chr8:96,142,333-96,160,806	8q22.1	GDF6	Yes	growth differentiation factor 6	601147	Multiple synostoses syndrome 4	Autosomal dominant	617898	chr8	96142333	96160806
chr8:96,261,902-96,336,995	8q22.1	PTDSS1	Yes	phosphatidylserine synthase 1	612792	Lenz-Majewski hyperostotic dwarfism	Autosomal dominant	151050	chr8	96261902	96336995
chr8:101,492,439-101,681,200	8q22.3	GRHL2	Yes	grainyhead like transcription factor 2	608576	Corneal dystrophy, posterior polymorphous, 4	Autosomal dominant	618031	chr8	101492439	101681200
chr8:101,492,439-101,681,200	8q22.3	GRHL2	Yes	grainyhead like transcription factor 2	608576	Deafness, autosomal dominant 28	Autosomal dominant	608641	chr8	101492439	101681200
chr8:101,492,439-101,681,200	8q22.3	GRHL2	Yes	grainyhead like transcription factor 2	608576	Ectodermal dysplasia/short stature syndrome	Autosomal recessive	616029	chr8	101492439	101681200
chr8:102,204,501-102,238,961	8q22.3	RRM2B	Yes	ribonucleotide reductase regulatory TP53 inducible subunit M2B	604712	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	Autosomal recessive	612075	chr8	102204501	102238961
chr8:102,204,501-102,238,961	8q22.3	RRM2B	Yes	ribonucleotide reductase regulatory TP53 inducible subunit M2B	604712	Mitochondrial DNA depletion syndrome 8B (MNGIE type)	Autosomal recessive	612075	chr8	102204501	102238961
chr8:102,204,501-102,238,961	8q22.3	RRM2B	Yes	ribonucleotide reductase regulatory TP53 inducible subunit M2B	604712	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5	Autosomal dominant	613077	chr8	102204501	102238961
chr8:102,204,501-102,238,961	8q22.3	RRM2B	Yes	ribonucleotide reductase regulatory TP53 inducible subunit M2B	604712	Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction	Autosomal recessive	268315	chr8	102204501	102238961
chr8:104,489,236-104,589,258	8q22.3	LRP12	Yes	LDL receptor related protein 12	618299	Amyotrophic lateral sclerosis 28	Autosomal dominant	620452	chr8	104489236	104589258
chr8:104,489,236-104,589,258	8q22.3	LRP12	Yes	LDL receptor related protein 12	618299	Oculopharyngodistal myopathy 1	Autosomal dominant	164310	chr8	104489236	104589258
chr8:105,318,438-105,804,539	8q23.1	ZFPM2	Yes	zinc finger protein, FOG family member 2	603693	46XY sex reversal 9	Autosomal dominant	616067	chr8	105318438	105804539
chr8:105,318,438-105,804,539	8q23.1	ZFPM2	Yes	zinc finger protein, FOG family member 2	603693	Diaphragmatic hernia 3	Autosomal dominant	610187	chr8	105318438	105804539
chr8:105,318,438-105,804,539	8q23.1	ZFPM2	Yes	zinc finger protein, FOG family member 2	603693	Tetralogy of Fallot	Autosomal dominant	187500	chr8	105318438	105804539
chr8:107,249,482-107,497,918	8q23.1	ANGPT1	Yes	angiopoietin 1	601667	?Angioedema, hereditary, 5	Autosomal dominant	619361	chr8	107249482	107497918
chr8:115,408,496-115,668,975	8q23.3	TRPS1	Yes	transcriptional repressor GATA binding 1	604386	Trichorhinophalangeal syndrome, type I	Autosomal dominant	190350	chr8	115408496	115668975
chr8:115,408,496-115,668,975	8q23.3	TRPS1	Yes	transcriptional repressor GATA binding 1	604386	Trichorhinophalangeal syndrome, type III	Autosomal dominant	190351	chr8	115408496	115668975
chr8:116,700,001-126,300,000	8q24.11-q24.13	TRPS2	Yes	Trichorhinophalangeal syndrome, type II (Langer-Giedion syndrome)	150230	Trichorhinophalangeal syndrome, type II	Autosomal dominant	150230	chr8	116700001	126300000
chr8:116,845,934-116,874,776	8q24.11	RAD21	Yes	RAD21 cohesin complex component	606462	?Mungan syndrome	Autosomal recessive	611376	chr8	116845934	116874776
chr8:116,845,934-116,874,776	8q24.11	RAD21	Yes	RAD21 cohesin complex component	606462	Cornelia de Lange syndrome 4	Autosomal dominant	614701	chr8	116845934	116874776
chr8:116,950,217-117,176,714	8q24.11	SLC30A8	Yes	solute carrier family 30 member 8	611145	{Diabetes mellitus, noninsulin-dependent, susceptibility to}	Autosomal dominant	125853	chr8	116950217	117176714
chr8:117,794,490-118,111,826	8q24.11	EXT1	Yes	exostosin glycosyltransferase 1	608177	Chondrosarcoma	Somatic mutation	215300	chr8	117794490	118111826
chr8:117,794,490-118,111,826	8q24.11	EXT1	Yes	exostosin glycosyltransferase 1	608177	Exostoses, multiple, type 1	Autosomal dominant	133700	chr8	117794490	118111826
chr8:118,131,825-118,621,963	8q24.11-q24.12	SAMD12	Yes	sterile alpha motif domain containing 12	618073	Epilepsy, familial adult myoclonic, 1	Autosomal dominant	601068	chr8	118131825	118621963
chr8:125,024,260-125,091,792	8q24.13	WASHC5	Yes	WASH complex subunit 5	610657	Ritscher-Schinzel syndrome 1	Autosomal recessive	220210	chr8	125024260	125091792
chr8:125,024,260-125,091,792	8q24.13	WASHC5	Yes	WASH complex subunit 5	610657	Spastic paraplegia 8, autosomal dominant	Autosomal dominant	603563	chr8	125024260	125091792
chr8:132,120,861-132,481,095	8q24.22	KCNQ3	Yes	potassium voltage-gated channel subfamily Q member 3	602232	Seizures, benign neonatal, 2	Autosomal dominant	121201	chr8	132120861	132481095
chr8:140,520,156-140,642,313	8q24.3	AGO2	Yes	argonaute RISC catalytic component 2	606229	Lessel-Kreienkamp syndrome	Autosomal dominant	619149	chr8	140520156	140642313
chr8:142,872,357-142,879,825	8q24.3	CYP11B1	Yes	cytochrome P450 family 11 subfamily B member 1	610613	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Autosomal recessive	202010	chr8	142872357	142879825
chr8:142,872,357-142,879,825	8q24.3	CYP11B1	Yes	cytochrome P450 family 11 subfamily B member 1	610613	Aldosteronism, glucocorticoid-remediable	Autosomal dominant	103900	chr8	142872357	142879825
chr8:143,428,064-143,430,732	8q24.3	MAFA	Yes	MAF bZIP transcription factor A	610303	Insulinomatosis and diabetes mellitus	Autosomal dominant	147630	chr8	143428064	143430732
